Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,world,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 49,Z,5.625,7.104,"±1,000",1.479,Fail,0.479
insert 50,X,-353.118,-353.205,"±1,000",-0.087,Pass,
insert 50,Y,395.339,395.345,"±1,000",0.006,Pass,
insert 50,Z,5.625,6.596,"±1,000",0.971,Pass,
insert 51,X,-321.422,-321.502,"±1,000",-0.080,Pass,
insert 51,Y,350.073,350.037,"±1,000",-0.036,Pass,
insert 51,Z,5.625,6.848,"±1,000",1.223,Fail,0.223
insert 52,X,-395.339,-395.375,"±1,000",-0.036,Pass,
insert 52,Y,353.118,353.108,"±1,000",-0.010,Pass,
insert 52,Z,5.625,6.909,"±1,000",1.284,Fail,0.284
insert 53,X,-467.036,-467.041,"±1,000",-0.005,Pass,
insert 53,Y,250.724,250.758,"±1,000",0.034,Pass,
insert 53,Z,5.625,6.809,"±1,000",1.184,Fail,0.184
insert 54,X,-421.770,-421.814,"±1,000",-0.044,Pass,
insert 54,Y,219.028,219.079,"±1,000",0.051,Pass,
insert 54,Z,5.625,6.611,"±1,000",0.986,Pass,
insert 55,X,-492.271,-492.250,"±1,000",0.021,Pass,
insert 55,Y,196.608,196.668,"±1,000",0.060,Pass,
insert 55,Z,5.625,6.699,"±1,000",1.074,Fail,0.074
insert 56,X,-524.623,-524.558,"±1,000",0.065,Pass,
insert 56,Y,75.868,75.908,"±1,000",0.040,Pass,
insert 56,Z,5.625,6.984,"±1,000",1.359,Fail,0.359
insert 57,X,-471.246,-471.270,"±1,000",-0.024,Pass,
insert 57,Y,61.565,61.587,"±1,000",0.022,Pass,
insert 57,Z,5.625,6.638,"±1,000",1.013,Fail,0.013
insert 58,X,451.773,451.685,"±1,000",-0.088,Pass,
insert 58,Y,-18.307,-18.208,"±1,000",0.099,Pass,
insert 58,Z,5.625,6.832,"±1,000",1.207,Fail,0.207
insert 59,X,439.521,439.444,"±1,000",-0.077,Pass,
insert 59,Y,106.091,106.130,"±1,000",0.039,Pass,
insert 59,Z,5.625,6.753,"±1,000",1.128,Fail,0.128
insert 60,X,384.527,384.450,"±1,000",-0.077,Pass,
insert 60,Y,100.675,100.702,"±1,000",0.027,Pass,
