Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,csys 1,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
ref 13_8,Centroid Z,-5.000,-5.740,"±1,000",-0.740,Pass,
13_6,Flatness,,0.114,0.200,0.114,Pass,
13_6,Centroid Z,-6.725,-7.829,"±1,000",-1.104,Fail,-0.104
ref 13_6,Flatness,,0.059,0.200,0.059,Pass,
ref 13_6,Centroid Z,-5.000,-6.010,"±1,000",-1.010,Fail,-0.010
13_4,Flatness,,0.174,0.200,0.174,Pass,
13_4,Centroid Z,-6.725,-8.081,"±1,000",-1.356,Fail,-0.356
ref 13_4,Flatness,,0.099,0.200,0.099,Pass,
ref 13_4,Centroid Z,-5.000,-6.281,"±1,000",-1.281,Fail,-0.281
13_2,Flatness,,0.153,0.200,0.153,Pass,
13_2,Centroid Z,-6.725,-8.364,"±1,000",-1.639,Fail,-0.639
ref 13_2,Flatness,,0.046,0.200,0.046,Pass,
ref 13_2,Centroid Z,-5.000,-6.572,"±1,000",-1.572,Fail,-0.572
11_26,Flatness,,0.173,0.200,0.173,Pass,
11_26,Centroid Z,-6.725,-8.851,"±1,000",-2.126,Fail,-1.126
ref 11_26,Flatness,,0.104,0.200,0.104,Pass,
ref 11_26,Centroid Z,-5.000,-7.025,"±1,000",-2.025,Fail,-1.025
11_24,Flatness,,0.177,0.200,0.177,Pass,
11_24,Centroid Z,-6.725,-8.452,"±1,000",-1.727,Fail,-0.727
ref 11_24,Flatness,,0.072,0.200,0.072,Pass,
ref 11_24,Centroid Z,-5.000,-6.614,"±1,000",-1.614,Fail,-0.614
11_22,Flatness,,0.076,0.200,0.076,Pass,
11_22,Centroid Z,-6.725,-8.068,"±1,000",-1.343,Fail,-0.343
ref 11_22,Flatness,,0.098,0.200,0.098,Pass,
ref 11_22,Centroid Z,-5.000,-6.222,"±1,000",-1.222,Fail,-0.222
11_20,Flatness,,0.119,0.200,0.119,Pass,
11_20,Centroid Z,-6.725,-7.594,"±1,000",-0.869,Pass,
ref 11_20,Flatness,,0.068,0.200,0.068,Pass,
ref 11_20,Centroid Z,-5.000,-5.654,"±1,000",-0.654,Pass,
11_18,Flatness,,0.084,0.200,0.084,Pass,
11_18,Centroid Z,-6.725,-6.762,"±1,000",-0.037,Pass,
ref 11_18,Flatness,,0.051,0.200,0.051,Pass,
ref 11_18,Centroid Z,-5.000,-4.980,"±1,000",0.020,Pass,
11_16,Flatness,,0.422,0.200,0.422,Fail,0.222
11_16,Centroid Z,-6.725,-6.440,"±1,000",0.285,Pass,
ref 11_16,Flatness,,0.077,0.200,0.077,Pass,
ref 11_16,Centroid Z,-5.000,-4.618,"±1,000",0.382,Pass,
11_14,Flatness,,0.122,0.200,0.122,Pass,
11_14,Centroid Z,-6.725,-6.613,"±1,000",0.112,Pass,
ref 11_14,Flatness,,0.006,0.200,0.006,Pass,
ref 11_14,Centroid Z,-5.000,-4.798,"±1,000",0.202,Pass,
11_12,Flatness,,0.089,0.200,0.089,Pass,
11_12,Centroid Z,-6.725,-6.614,"±1,000",0.111,Pass,
ref 11_12,Flatness,,0.039,0.200,0.039,Pass,
ref 11_12,Centroid Z,-5.000,-4.854,"±1,000",0.146,Pass,
11_10,Flatness,,0.089,0.200,0.089,Pass,
11_10,Centroid Z,-6.725,-7.045,"±1,000",-0.320,Pass,
ref 11_10,Flatness,,0.106,0.200,0.106,Pass,
ref 11_10,Centroid Z,-5.000,-5.193,"±1,000",-0.193,Pass,
11_8,Flatness,,0.110,0.200,0.110,Pass,
11_8,Centroid Z,-6.725,-7.384,"±1,000",-0.659,Pass,
ref 11_8,Flatness,,0.059,0.200,0.059,Pass,
ref 11_8,Centroid Z,-5.000,-5.550,"±1,000",-0.550,Pass,
11_6,Flatness,,0.130,0.200,0.130,Pass,
11_6,Centroid Z,-6.725,-7.829,"±1,000",-1.104,Fail,-0.104
ref 11_6,Flatness,,0.065,0.200,0.065,Pass,
ref 11_6,Centroid Z,-5.000,-6.001,"±1,000",-1.001,Fail,-0.001
11_4,Flatness,,0.069,0.200,0.069,Pass,
11_4,Centroid Z,-6.725,-8.305,"±1,000",-1.580,Fail,-0.580
ref 11_4,Flatness,,0.049,0.200,0.049,Pass,
ref 11_4,Centroid Z,-5.000,-6.487,"±1,000",-1.487,Fail,-0.487
11_2,Flatness,,0.126,0.200,0.126,Pass,
11_2,Centroid Z,-6.725,-8.858,"±1,000",-2.133,Fail,-1.133
ref 11_2,Flatness,,0.030,0.200,0.030,Pass,
ref 11_2,Centroid Z,-5.000,-7.065,"±1,000",-2.065,Fail,-1.065



