Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,rotated,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 44,Y,529.827,529.840,"±1,000",0.013,Pass,
insert 44,Z,-5.625,-6.105,"±1,000",-0.480,Pass,
insert 45,X,21.201,21.125,"±1,000",-0.076,Pass,
insert 45,Y,474.777,474.845,"±1,000",0.068,Pass,
insert 45,Z,-5.625,-7.062,"±1,000",-1.437,Fail,-0.437
insert 46,X,75.868,75.789,"±1,000",-0.079,Pass,
insert 46,Y,524.623,524.590,"±1,000",-0.033,Pass,
insert 46,Z,-5.625,-7.365,"±1,000",-1.740,Fail,-0.740
insert 47,X,196.608,196.618,"±1,000",0.010,Pass,
insert 47,Y,492.271,492.259,"±1,000",-0.012,Pass,
insert 47,Z,-5.625,-7.271,"±1,000",-1.646,Fail,-0.646
insert 48,X,182.306,182.239,"±1,000",-0.067,Pass,
insert 48,Y,438.894,438.902,"±1,000",0.008,Pass,
insert 48,Z,-5.625,-7.224,"±1,000",-1.599,Fail,-0.599
insert 49,X,250.724,250.703,"±1,000",-0.021,Pass,
insert 49,Y,467.036,467.099,"±1,000",0.063,Pass,
insert 49,Z,-5.625,-7.376,"±1,000",-1.751,Fail,-0.751
insert 50,X,353.118,353.175,"±1,000",0.057,Pass,
insert 50,Y,395.339,395.369,"±1,000",0.030,Pass,
insert 50,Z,-5.625,-6.723,"±1,000",-1.098,Fail,-0.098
insert 51,X,321.422,321.527,"±1,000",0.105,Pass,
insert 51,Y,350.073,350.155,"±1,000",0.082,Pass,
insert 51,Z,-5.625,-7.541,"±1,000",-1.916,Fail,-0.916
insert 52,X,395.339,395.333,"±1,000",-0.006,Pass,
insert 52,Y,353.118,353.253,"±1,000",0.135,Pass,
insert 52,Z,-5.625,-7.500,"±1,000",-1.875,Fail,-0.875
insert 53,X,467.036,467.183,"±1,000",0.147,Pass,
insert 53,Y,250.724,250.649,"±1,000",-0.075,Pass,
insert 53,Z,-5.625,-7.039,"±1,000",-1.414,Fail,-0.414
insert 54,X,421.770,421.775,"±1,000",0.005,Pass,
insert 54,Y,219.028,219.065,"±1,000",0.037,Pass,
insert 54,Z,-5.625,-5.711,"±1,000",-0.086,Pass,
insert 55,X,492.271,492.245,"±1,000",-0.026,Pass,
insert 55,Y,196.608,196.526,"±1,000",-0.082,Pass,
insert 55,Z,-5.625,-7.728,"±1,000",-2.103,Fail,-1.103
insert 56,X,524.623,524.627,"±1,000",0.004,Pass,
insert 56,Y,75.868,75.751,"±1,000",-0.117,Pass,
insert 56,Z,-5.625,-6.669,"±1,000",-1.044,Fail,-0.044
insert 57,X,471.246,471.158,"±1,000",-0.088,Pass,
insert 57,Y,61.565,61.636,"±1,000",0.071,Pass,
insert 57,Z,-5.625,-6.055,"±1,000",-0.430,Pass,
insert 58,X,-451.773,-451.658,"±1,000",0.115,Pass,
insert 58,Y,-18.307,-18.221,"±1,000",0.086,Pass,
insert 58,Z,-5.625,-5.325,"±1,000",0.300,Pass,
insert 59,X,-439.521,-439.487,"±1,000",0.034,Pass,
insert 59,Y,106.091,106.169,"±1,000",0.078,Pass,
insert 59,Z,-5.625,-7.351,"±1,000",-1.726,Fail,-0.726
insert 60,X,-384.527,-384.537,"±1,000",-0.010,Pass,
insert 60,Y,100.675,100.680,"±1,000",0.005,Pass,
insert 60,Z,-5.625,-7.075,"±1,000",-1.450,Fail,-0.450
insert 61,X,-424.389,-424.407,"±1,000",-0.018,Pass,
insert 61,Y,155.973,155.884,"±1,000",-0.089,Pass,
insert 61,Z,-5.625,-6.807,"±1,000",-1.182,Fail,-0.182
insert 62,X,-365.465,-365.483,"±1,000",-0.018,Pass,
insert 62,Y,266.213,266.219,"±1,000",0.006,Pass,
insert 62,Z,-5.625,-7.337,"±1,000",-1.712,Fail,-0.712
insert 63,X,-316.730,-316.786,"±1,000",-0.056,Pass,
insert 63,Y,240.164,240.172,"±1,000",0.008,Pass,
insert 63,Z,-5.625,-7.241,"±1,000",-1.616,Fail,-0.616
insert 64,X,-332.396,-332.443,"±1,000",-0.047,Pass,
insert 64,Y,306.507,306.511,"±1,000",0.004,Pass,
insert 64,Z,-5.625,-7.362,"±1,000",-1.737,Fail,-0.737
insert 65,X,-235.770,-235.716,"±1,000",0.054,Pass,
insert 65,Y,385.806,385.690,"±1,000",-0.116,Pass,
insert 65,Z,-5.625,-7.470,"±1,000",-1.845,Fail,-0.845
insert 66,X,-200.713,-200.787,"±1,000",-0.074,Pass,
insert 66,Y,343.089,343.086,"±1,000",-0.003,Pass,
insert 66,Z,-5.625,-7.189,"±1,000",-1.564,Fail,-0.564
insert 67,X,-189.799,-189.690,"±1,000",0.109,Pass,
insert 67,Y,410.378,410.361,"±1,000",-0.017,Pass,
insert 67,Z,-5.625,-7.582,"±1,000",-1.957,Fail,-0.957
insert 68,X,-70.182,-70.233,"±1,000",-0.051,Pass,
insert 68,Y,446.664,446.762,"±1,000",0.098,Pass,
insert 68,Z,-5.625,-7.546,"±1,000",-1.921,Fail,-0.921
insert 69,X,-54.140,-53.986,"±1,000",0.154,Pass,
insert 69,Y,393.783,393.765,"±1,000",-0.018,Pass,
insert 69,Z,-5.625,-6.401,"±1,000",-0.776,Pass,
insert 70,X,-18.307,-18.363,"±1,000",-0.056,Pass,
insert 70,Y,451.773,451.692,"±1,000",-0.081,Pass,
insert 70,Z,-5.625,-7.719,"±1,000",-2.094,Fail,-1.094
insert 71,X,106.091,106.040,"±1,000",-0.051,Pass,
insert 71,Y,439.521,439.429,"±1,000",-0.092,Pass,
insert 71,Z,-5.625,-7.712,"±1,000",-2.087,Fail,-1.087
insert 72,X,100.675,100.587,"±1,000",-0.088,Pass,
insert 72,Y,384.527,384.510,"±1,000",-0.017,Pass,
insert 72,Z,-5.625,-7.618,"±1,000",-1.993,Fail,-0.993
insert 73,X,155.973,156.056,"±1,000",0.083,Pass,
insert 73,Y,424.389,424.380,"±1,000",-0.009,Pass,
insert 73,Z,-5.625,-7.130,"±1,000",-1.505,Fail,-0.505
insert 74,X,266.213,266.195,"±1,000",-0.018,Pass,
insert 74,Y,365.465,365.558,"±1,000",0.093,Pass,
insert 74,Z,-5.625,-7.489,"±1,000",-1.864,Fail,-0.864
insert 75,X,240.164,240.228,"±1,000",0.064,Pass,
insert 75,Y,316.730,316.693,"±1,000",-0.037,Pass,
insert 75,Z,-5.625,-7.336,"±1,000",-1.711,Fail,-0.711
insert 76,X,306.507,306.442,"±1,000",-0.065,Pass,
insert 76,Y,332.396,332.399,"±1,000",0.003,Pass,
insert 76,Z,-5.625,-7.619,"±1,000",-1.994,Fail,-0.994
insert 77,X,385.806,385.710,"±1,000",-0.096,Pass,
insert 77,Y,235.770,235.802,"±1,000",0.032,Pass,
insert 77,Z,-5.625,-7.348,"±1,000",-1.723,Fail,-0.723
insert 78,X,343.089,343.099,"±1,000",0.010,Pass,
insert 78,Y,200.713,200.756,"±1,000",0.043,Pass,
insert 78,Z,-5.625,-6.238,"±1,000",-0.613,Pass,
insert 79,X,410.378,410.287,"±1,000",-0.091,Pass,
insert 79,Y,189.799,189.832,"±1,000",0.033,Pass,
insert 79,Z,-5.625,-7.539,"±1,000",-1.914,Fail,-0.914
insert 80,X,446.664,446.751,"±1,000",0.087,Pass,
insert 80,Y,70.182,70.267,"±1,000",0.085,Pass,
insert 80,Z,-5.625,-7.220,"±1,000",-1.595,Fail,-0.595
insert 81,X,393.783,393.717,"±1,000",-0.066,Pass,
insert 81,Y,54.140,54.192,"±1,000",0.052,Pass,
insert 81,Z,-5.625,-6.665,"±1,000",-1.040,Fail,-0.040
insert 82,X,-373.471,-373.380,"±1,000",0.091,Pass,
insert 82,Y,-13.871,-13.802,"±1,000",0.069,Pass,
insert 82,Z,-5.625,-7.305,"±1,000",-1.680,Fail,-0.680
insert 83,X,-357.155,-357.028,"±1,000",0.127,Pass,
insert 83,Y,110.060,110.062,"±1,000",0.002,Pass,
insert 83,Z,-5.625,-5.611,"±1,000",0.014,Pass,
insert 84,X,-302.368,-302.238,"±1,000",0.130,Pass,
insert 84,Y,102.847,102.822,"±1,000",-0.025,Pass,
insert 84,Z,-5.625,-7.739,"±1,000",-2.114,Fail,-1.114
insert 85,X,-330.371,-330.264,"±1,000",0.107,Pass,
insert 85,Y,174.723,174.742,"±1,000",0.019,Pass,
insert 85,Z,-5.625,-7.836,"±1,000",-2.211,Fail,-1.211
insert 86,X,-254.275,-254.168,"±1,000",0.107,Pass,
insert 86,Y,273.892,273.910,"±1,000",0.018,Pass,
insert 86,Z,-5.625,-7.599,"±1,000",-1.974,Fail,-0.974
insert 87,X,-210.435,-210.365,"±1,000",0.070,Pass,
insert 87,Y,240.252,240.291,"±1,000",0.039,Pass,
insert 87,Z,-5.625,-7.723,"±1,000",-2.098,Fail,-1.098
insert 88,X,-198.748,-198.647,"±1,000",0.101,Pass,
insert 88,Y,316.500,316.515,"±1,000",0.015,Pass,
insert 88,Z,-5.625,-7.908,"±1,000",-2.283,Fail,-1.283
insert 89,X,-83.263,-83.185,"±1,000",0.078,Pass,
insert 89,Y,364.335,364.250,"±1,000",-0.085,Pass,
insert 89,Z,-5.625,-7.895,"±1,000",-2.270,Fail,-1.270
insert 90,X,-62.116,-62.020,"±1,000",0.096,Pass,
insert 90,Y,313.281,313.332,"±1,000",0.051,Pass,
insert 90,Z,-5.625,-7.865,"±1,000",-2.240,Fail,-1.240
insert 91,X,-13.871,-13.829,"±1,000",0.042,Pass,
insert 91,Y,373.471,373.498,"±1,000",0.027,Pass,
insert 91,Z,-5.625,-6.705,"±1,000",-1.080,Fail,-0.080
insert 92,X,110.060,110.137,"±1,000",0.077,Pass,
insert 92,Y,357.155,357.148,"±1,000",-0.007,Pass,
insert 92,Z,-5.625,-6.679,"±1,000",-1.054,Fail,-0.054
insert 93,X,102.847,102.897,"±1,000",0.050,Pass,
insert 93,Y,302.368,302.403,"±1,000",0.035,Pass,
insert 93,Z,-5.625,-6.533,"±1,000",-0.908,Pass,
insert 94,X,174.723,174.763,"±1,000",0.040,Pass,
insert 94,Y,330.371,330.378,"±1,000",0.007,Pass,
insert 94,Z,-5.625,-5.729,"±1,000",-0.104,Pass,
insert 95,X,273.892,273.942,"±1,000",0.050,Pass,
insert 95,Y,254.275,254.260,"±1,000",-0.015,Pass,
insert 95,Z,-5.625,-8.039,"±1,000",-2.414,Fail,-1.414
insert 96,X,240.252,240.286,"±1,000",0.034,Pass,
insert 96,Y,210.435,210.527,"±1,000",0.092,Pass,
insert 96,Z,-5.625,-7.974,"±1,000",-2.349,Fail,-1.349
insert 97,X,316.500,316.515,"±1,000",0.015,Pass,
insert 97,Y,198.748,198.793,"±1,000",0.045,Pass,
insert 97,Z,-5.625,-7.959,"±1,000",-2.334,Fail,-1.334
insert 98,X,364.335,364.471,"±1,000",0.136,Pass,
insert 98,Y,83.263,83.382,"±1,000",0.119,Pass,
insert 98,Z,-5.625,-7.823,"±1,000",-2.198,Fail,-1.198
insert 99,X,313.281,313.282,"±1,000",0.001,Pass,
insert 99,Y,62.116,62.170,"±1,000",0.054,Pass,
insert 99,Z,-5.625,-7.949,"±1,000",-2.324,Fail,-1.324
insert 100,X,-293.649,-293.555,"±1,000",0.094,Pass,
insert 100,Y,-16.770,-16.756,"±1,000",0.014,Pass,
insert 100,Z,-5.625,-4.922,"±1,000",0.703,Pass,
insert 101,X,-274.094,-273.990,"±1,000",0.104,Pass,
insert 101,Y,106.691,106.696,"±1,000",0.005,Pass,
