Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,Koordsys 1,,,,,,
Data Alignments,Gem. Objekte 1,,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
point 46,Y,481.355,481.350,"±1,000",-0.005,Pass,
point 46,Z,-14.965,-15.046,"±1,000",-0.081,Pass,
point 47,X,-573.881,-573.969,"±1,000",-0.088,Pass,
point 47,Y,633.180,633.150,"±1,000",-0.030,Pass,
point 47,Z,-14.965,-14.861,"±1,000",0.104,Pass,
point 48,X,-542.653,-542.751,"±1,000",-0.098,Pass,
point 48,Y,598.726,598.686,"±1,000",-0.040,Pass,
point 48,Z,-14.965,-14.903,"±1,000",0.062,Pass,
point 49,X,-439.327,-439.403,"±1,000",-0.076,Pass,
point 49,Y,732.972,732.951,"±1,000",-0.021,Pass,
point 49,Z,-14.965,-14.994,"±1,000",-0.029,Pass,
point 50,X,-415.421,-415.508,"±1,000",-0.087,Pass,
point 50,Y,693.088,693.057,"±1,000",-0.031,Pass,
point 50,Z,-14.965,-14.981,"±1,000",-0.016,Pass,
point 51,X,-287.889,-288.002,"±1,000",-0.113,Pass,
point 51,Y,804.596,804.549,"±1,000",-0.047,Pass,
point 51,Z,-14.965,-14.853,"±1,000",0.112,Pass,
point 52,X,-272.224,-272.350,"±1,000",-0.126,Pass,
point 52,Y,760.815,760.779,"±1,000",-0.036,Pass,
point 52,Z,-14.965,-14.958,"±1,000",0.007,Pass,
point 53,X,-125.389,-125.502,"±1,000",-0.113,Pass,
point 53,Y,845.301,845.327,"±1,000",0.026,Pass,
point 53,Z,-14.965,-14.885,"±1,000",0.080,Pass,
point 54,X,-118.566,-118.659,"±1,000",-0.093,Pass,
point 54,Y,799.304,799.361,"±1,000",0.057,Pass,
point 54,Z,-14.965,-14.983,"±1,000",-0.018,Pass,
point 55,X,41.931,41.791,"±1,000",-0.140,Pass,
point 55,Y,853.521,853.487,"±1,000",-0.034,Pass,
point 55,Z,-14.965,-15.015,"±1,000",-0.050,Pass,
point 56,X,39.649,39.465,"±1,000",-0.184,Pass,
point 56,Y,807.077,807.090,"±1,000",0.013,Pass,
point 56,Z,-14.965,-15.051,"±1,000",-0.086,Pass,
point 57,X,207.639,207.500,"±1,000",-0.139,Pass,
point 57,Y,828.940,828.900,"±1,000",-0.040,Pass,
point 57,Z,-14.965,-14.974,"±1,000",-0.009,Pass,
point 58,X,196.340,196.151,"±1,000",-0.189,Pass,
point 58,Y,783.834,783.833,"±1,000",-0.001,Pass,
point 58,Z,-14.965,-15.000,"±1,000",-0.035,Pass,
point 59,X,365.367,365.206,"±1,000",-0.161,Pass,
point 59,Y,772.504,772.451,"±1,000",-0.053,Pass,
point 59,Z,-14.965,-15.108,"±1,000",-0.143,Pass,
point 60,X,345.486,345.291,"±1,000",-0.195,Pass,
point 60,Y,730.469,730.444,"±1,000",-0.025,Pass,
point 60,Z,-14.965,-15.158,"±1,000",-0.193,Pass,
point 61,X,509.055,508.890,"±1,000",-0.165,Pass,
point 61,Y,686.381,686.357,"±1,000",-0.024,Pass,
point 61,Z,-14.965,-15.119,"±1,000",-0.154,Pass,
point 62,X,481.355,481.152,"±1,000",-0.203,Pass,
point 62,Y,649.032,649.023,"±1,000",-0.009,Pass,
point 62,Z,-14.965,-15.178,"±1,000",-0.213,Pass,
point 63,X,633.180,632.983,"±1,000",-0.197,Pass,
point 63,Y,573.881,573.912,"±1,000",0.031,Pass,
point 63,Z,-14.965,-15.151,"±1,000",-0.186,Pass,
point 64,X,598.726,598.520,"±1,000",-0.206,Pass,
point 64,Y,542.653,542.680,"±1,000",0.027,Pass,
point 64,Z,-14.965,-15.174,"±1,000",-0.209,Pass,
point 65,X,732.972,732.765,"±1,000",-0.207,Pass,
point 65,Y,439.327,439.359,"±1,000",0.032,Pass,
point 65,Z,-14.965,-15.102,"±1,000",-0.137,Pass,
point 66,X,693.088,692.878,"±1,000",-0.210,Pass,
point 66,Y,415.421,415.455,"±1,000",0.034,Pass,
point 66,Z,-14.965,-15.055,"±1,000",-0.090,Pass,
point 67,X,804.596,804.339,"±1,000",-0.257,Pass,
point 67,Y,287.889,287.924,"±1,000",0.035,Pass,
point 67,Z,-14.965,-15.040,"±1,000",-0.075,Pass,
point 68,X,760.815,760.554,"±1,000",-0.261,Pass,
point 68,Y,272.224,272.270,"±1,000",0.046,Pass,
point 68,Z,-14.965,-14.955,"±1,000",0.010,Pass,
point 69,X,845.301,845.023,"±1,000",-0.278,Pass,
point 69,Y,125.389,125.417,"±1,000",0.028,Pass,
point 69,Z,-14.965,-14.413,"±1,000",0.552,Pass,
point 70,X,799.304,799.034,"±1,000",-0.270,Pass,
point 70,Y,118.566,118.584,"±1,000",0.018,Pass,
point 70,Z,-14.965,-14.308,"±1,000",0.657,Pass,
point 71,X,-688.133,-688.139,"±1,000",-0.006,Pass,
point 71,Y,41.624,41.563,"±1,000",-0.061,Pass,
point 71,Z,-14.965,-13.599,"±1,000",1.366,Fail,0.366
point 72,X,-641.718,-641.727,"±1,000",-0.009,Pass,
point 72,Y,38.817,38.806,"±1,000",-0.011,Pass,
point 72,Z,-14.965,-13.876,"±1,000",1.089,Fail,0.089
point 73,X,-658.176,-658.186,"±1,000",-0.010,Pass,
point 73,Y,205.096,204.998,"±1,000",-0.098,Pass,
point 73,Z,-14.965,-13.370,"±1,000",1.595,Fail,0.595
point 74,X,-613.781,-613.784,"±1,000",-0.003,Pass,
point 74,Y,191.262,191.160,"±1,000",-0.102,Pass,
point 74,Z,-14.965,-13.448,"±1,000",1.517,Fail,0.517
point 75,X,-589.968,-589.990,"±1,000",-0.022,Pass,
point 75,Y,356.648,356.633,"±1,000",-0.015,Pass,
point 75,Z,-14.965,-14.187,"±1,000",0.778,Pass,
point 76,X,-550.174,-550.197,"±1,000",-0.023,Pass,
point 76,Y,332.592,332.551,"±1,000",-0.041,Pass,
point 76,Z,-14.965,-14.069,"±1,000",0.896,Pass,
point 77,X,-487.473,-487.513,"±1,000",-0.040,Pass,
point 77,Y,487.473,487.435,"±1,000",-0.038,Pass,
point 77,Z,-14.965,-14.894,"±1,000",0.071,Pass,
point 78,X,-454.593,-454.636,"±1,000",-0.043,Pass,
point 78,Y,454.593,454.534,"±1,000",-0.059,Pass,
point 78,Z,-14.965,-14.815,"±1,000",0.150,Pass,
point 79,X,-356.648,-356.734,"±1,000",-0.086,Pass,
point 79,Y,589.968,589.933,"±1,000",-0.035,Pass,
point 79,Z,-14.965,-14.893,"±1,000",0.072,Pass,
point 80,X,-332.592,-332.671,"±1,000",-0.079,Pass,
point 80,Y,550.174,550.124,"±1,000",-0.050,Pass,
point 80,Z,-14.965,-14.946,"±1,000",0.019,Pass,
point 81,X,-205.096,-205.197,"±1,000",-0.101,Pass,
point 81,Y,658.176,658.142,"±1,000",-0.034,Pass,
point 81,Z,-14.965,-15.137,"±1,000",-0.172,Pass,
point 82,X,-191.262,-191.365,"±1,000",-0.103,Pass,
point 82,Y,613.781,613.725,"±1,000",-0.056,Pass,
point 82,Z,-14.965,-14.946,"±1,000",0.019,Pass,
point 83,X,-41.625,-41.721,"±1,000",-0.096,Pass,
point 83,Y,688.133,688.204,"±1,000",0.071,Pass,
point 83,Z,-14.965,-15.000,"±1,000",-0.035,Pass,
point 84,X,-38.817,-38.909,"±1,000",-0.092,Pass,
point 84,Y,641.718,641.808,"±1,000",0.090,Pass,
point 84,Z,-14.965,-14.942,"±1,000",0.023,Pass,
point 85,X,124.266,124.147,"±1,000",-0.119,Pass,
point 85,Y,678.099,678.135,"±1,000",0.036,Pass,
point 85,Z,-14.965,-14.694,"±1,000",0.271,Pass,
point 86,X,115.884,115.764,"±1,000",-0.120,Pass,
point 86,Y,632.360,632.388,"±1,000",0.028,Pass,
point 86,Z,-14.965,-14.788,"±1,000",0.177,Pass,
point 87,X,282.935,282.841,"±1,000",-0.094,Pass,
point 87,Y,628.656,628.687,"±1,000",0.031,Pass,
point 87,Z,-14.965,-14.689,"±1,000",0.276,Pass,
point 88,X,263.850,263.765,"±1,000",-0.085,Pass,
point 88,Y,586.252,586.273,"±1,000",0.021,Pass,
point 88,Z,-14.965,-14.746,"±1,000",0.219,Pass,
point 89,X,425.160,425.036,"±1,000",-0.124,Pass,
point 89,Y,542.677,542.664,"±1,000",-0.013,Pass,
point 89,Z,-14.965,-14.339,"±1,000",0.626,Pass,
point 90,X,396.483,396.347,"±1,000",-0.136,Pass,
point 90,Y,506.073,506.067,"±1,000",-0.006,Pass,
point 90,Z,-14.965,-14.387,"±1,000",0.578,Pass,
point 91,X,542.677,542.507,"±1,000",-0.170,Pass,
point 91,Y,425.161,425.162,"±1,000",0.001,Pass,
point 91,Z,-14.965,-14.244,"±1,000",0.721,Pass,
point 92,X,506.073,505.890,"±1,000",-0.183,Pass,
point 92,Y,396.483,396.496,"±1,000",0.013,Pass,
point 92,Z,-14.965,-14.115,"±1,000",0.850,Pass,
point 93,X,628.655,628.499,"±1,000",-0.156,Pass,
point 93,Y,282.935,282.971,"±1,000",0.036,Pass,
point 93,Z,-14.965,-13.793,"±1,000",1.172,Fail,0.172
point 94,X,586.252,586.091,"±1,000",-0.161,Pass,
point 94,Y,263.851,263.885,"±1,000",0.034,Pass,
point 94,Z,-14.965,-13.597,"±1,000",1.368,Fail,0.368
point 95,X,678.099,677.972,"±1,000",-0.127,Pass,
point 95,Y,124.267,124.264,"±1,000",-0.003,Pass,
point 95,Z,-14.965,-13.143,"±1,000",1.822,Fail,0.822
point 96,X,632.360,632.233,"±1,000",-0.127,Pass,
point 96,Y,115.885,115.911,"±1,000",0.026,Pass,
point 96,Z,-14.965,-13.089,"±1,000",1.876,Fail,0.876



